,beer,score,style,abv,rating,cleaned_review
4313,Fuzzy Baby Ducks,99,IPA - New England,6.2%,4.14,"I've had it a billion times but I've never reviewed it and now that BA has nerfed everyone's karma I guess I have to. I guess being a member for 14 years and going to a dozen fests isn't enough. FBD was that friendly transitional beer between WCIPA and NEIPA for thousands of us and it's held up over the years. Still has that slightly ""unfinished"" ""it's brew day and I'm grabbing growlers"" feel to it, but not in a negative way."
4314,JJJuliusss!,100,IPA - New England,6.8%,4.36,"16oz can at share. Hazy orange pour with a healthy, thick head. Huge fruity aroma, citrus and stone fruit. Taste does not disappoint, big and juicy, sweet, light dank notes, a bit of everything. This wows at every level."
4315,Heady Topper,100,IPA - New England,8%,4.59,"This one is a throwback to the good old days of pine flavored IPA's. Pine and resin are the main aromas followed by citrus, and tropical hops in the foreground. Candy malt backbone to support the beer. Slight astringency. Strong bitterness that last for a while. Despite it's strength and bitterness I still find it very drinkable and the malts do a good job of supporting the more powerful flavors. Very good."
4316,Great,100,Barleywine - American,14%,4.93,"This is truly a ""great"" experience. I would not classify this as an American Barleywine, but an English one. I've never had the base, but the barrel transforms this into such a smooth and sweet tasting masterpiece. The alcohol is also masterfully hidden. There are no hoppy notes at all."
4317,Nectarine Premiere,100,Farmhouse Ale - Saison,7.1%,5.0,Had a week ago.
4318,Triple Shot,100,Stout - American Imperial,9.7%,4.62,"Pours an extremely thick and viscous, aggressive pour yields no foam, then the foam blossoms into a huge head that tastes delicious. Aroma is sweet creamy coffee. Flavor is sweet creamy coffee, heavy on the cream. Extremely thick and viscous, amazing mouthfeel. Overall, this is truly an exceptional beer. 5/28/21 "
4319,Bourbon Barrel Oro Negro,99,Stout - American Imperial,12.1%,4.35,"375 ml bottle into snifter, 2017 vintage bottling. Pours opaque dark brown/black color with a 1 finger dense and rocky tan head with great retention, that reduces to a thin cap that lingers. Nice spotty soapy lacing clings on the glass, with a fair amount of streaming carbonation retaining the cap. Aromas of big milk/dark chocolate, cocoa, coffee, walnuts, caramel, brown sugar, toffee, fudge, marshmallow, vanilla, cream, cinnamon, habanero pepper, bourbon, toasted oak, and dark/brown bread; with light notes of coconut, molasses, licorice, raisin, fig, date, smoke, char, leather, tobacco, herbal, and roast/toast/oaky earthiness. Touch of booze in the aromas as it warmed, but not overwhelming. Damn nice aromas with great balance and complexity of dark/roast/bready malt, walnuts, spices, and bourbon barrel notes; with great strength. Taste of huge milk/dark chocolate, cocoa, coffee, walnuts, caramel, brown sugar, toffee, fudge, marshmallow, vanilla, cream, cinnamon, habanero pepper, bourbon, toasted oak, and dark/brown bread; with light notes of coconut, molasses, licorice, raisin, fig, date, smoke, char, leather, tobacco, herbal, and roast/toast/oaky earthiness. Mild herbal/roast/char bitterness, and bourbon/oak/pepper/cinnamon spiciness on the finish. Lingering notes of milk/dark chocolate, cocoa, coffee, walnuts, caramel, brown sugar, toffee, fudge, marshmallow, vanilla, cream, cinnamon, habanero pepper, bourbon, toasted oak, dark/brown bread, light dark fruit/smoke/char, leather, tobacco, and roast/toast/oaky earthiness on the finish for a while. Amazing complexity, robustness, and balance of dark/roast/bready malt, walnuts, spices, and bourbon barrel flavors; with a great roasted bitter/sweet and spiciness balance; with no cloying/acrid/astringent flavors after the finish. Lightly increasing dryness from lingering bitterness and bourbon/oak/spiciness. Light-medium carbonation and fairly full body; with a very smooth, creamy/silky/velvety, and lightly sticky/chalky/tannic mouthfeel that is fantastic. Mildly increasing warmth of 12.1% and pepper heat; with minimal barrel booziness lingering after the finish. Overall this is an amazing barrel aged imperial spiced stout! All around incredible complexity, robustness, and balance of dark/roast/bready malt, walnuts, spices, and bourbon barrel flavors; very smooth and dangerously easy to sip on for the big ABV, with the mildly bitter/spicy/drying finish. Amazingly rich malt complexity, perfectly balanced spices, and bourbon barrel presence/integration. Not overwhelming on any aspect. A bit more soft and mellowed out on spice after the barrel aging. A highly enjoyable offering as expected. Liked it just a bit more than the base beer."
4320,Coffee Cinnamon B-Bomb,100,Strong Ale - American,13%,4.48,"My youngest daughter gave me this for Christmas and had been bugging me to not wait too long to drink it (little does she know what's in my cellar). So I was waiting for the weather to cool down and today is it. 2019 poured into a DFH tulip. Brownish black body with a nice creamy head of tight bubbles with good retention. Smell is cinnamon upfront with not much coffee and deep roasty malts. Taste is big cinnamon with a bit of coffee and chocolate. Nicely complex. Can taste a bit of a booze burn when it warms but the balance on this is good enough that I'm not kicking myself for not aging this longer; at least not too much. Mouthfeel is beautifully creamy and that's what really sets this off. Usually with a big dark bomb like this I'm all about it being chewy but creamy really works. Just a fantastic experience. Thank you, Jenny Wren."
4321,Trappist Westvleteren 12 (XII),100,Quadrupel (Quad),10.2%,4.68,"Big thanks to my best friend Jon Passow from A Starter and a Chaser podcast for sharing a bottle of this with me. Getting to try this certainly is a big beer milestone for me. Poured into a goblet glass, this beer pours a dark ruby color with some bright ruby/amber highlights when held up to the light. Has a just slightly off-white/tan head that's about half an inch thick when first poured that settles eventually to thick ring lining the inside of the glass along with a film layer of surface foam. Aromas of toasted, bready, caramel malts followed by dried fig, plum, yeasty esters, a hint of cocoa, a bit of leather, and hint of sweet , Red Delicious apple. Tastewise, the flavor profile is very similar, with the aforementioned toasted, caramel, bready malts along with plums, figs and just a hint of Red Delicious apple. This is followed by some Belgian Candy sugars along with a bit of yeastiness and just a hint of cocoa and leather here too. The flavor profile does change and get a bit more complex as the beer sits and warms up. Just an absolutely fantastic flavor profile. Has a smooth, fairly frothy, slightly creamy, also still somewhat crisp, medium to full bodied with moderate carbonation. Has a clean finish, and all the flavors stack around on the inside of my mouth on my palate for awhile after each sip. WOW! This is just a really excellent beer, and certainly the best beer of this style I've ever had. Eric"
4322,Barrel-Aged Abraxas,100,Stout - American Imperial,11%,4.51,"Black in color with no penetration to light. The aroma is of cinnamon, chocolate fudge, vanilla, and whiskey. I’m tasting dark chocolate brownies, cinnamon, vanilla, and whiskey. The mouth is lusciously smooth and insanely drinkable for 13%."
4323,The Peach,100,Wild Ale,7.3%,3.39,"Pours a bright, sunny yellow color, clouded, with a smaller white head, which disappears soon. The nose is defined by rubbery funk, mushrooms and lots of young peaches. Funk and fruits collide in a very gentle way, creating an intriguing complexity with peaches being the most prominent ingredient.  Has a sparkly effervescence, together with a mineralic quality, while providing a very refreshing, easy drinking, yet very acidic body.  Tastes of lime zest, cucumber water, old herbs, minerals and wet basement. Crisp and refreshing on the tongue, leaving the heavy mushroom funk from the nose behind, which gets replaced by unripe peaches. Peaches are definitely recognizable on the palate, while they are less well pronounced compared with the beer's aromas. They go hand in hand with a tongue bumbing tartness, while a fruity peach pulp note is able to cut through. The beer finishes calm and clean, with an everlasting sourness among an aqueous, mineral blend.  This is solid, well balanced and perfect for a warm summer day. Its tartness is pushing it though, reminding me of a classical AWA, hindering the beer from unfolding subtle notes."
4324,Duck Duck Gooze,100,Lambic - Gueuze,7%,3.9,"2013 vintage; drank 11/20/14 @ California Split.  Murky tangerine color.  Minimal white head; minimal lace.  Tart apple nose.  Medium mouthfeel.  VERY tart apple flavor; one-note & way too sour for me, but bold & memorable."
4325,KBS,100,Stout - American Imperial,12.3%,4.04,"2/8/21 - Opaque coffee, tan head, not big, recedes to a cap; An intriguing aroma, rich, sweet; Mouthfeel: smooth, mild carbonation; Rich robust flavor, alcohol; I think I prefer Founder's Breakfast Stout. I guess I need to do a taste test."
4326,Miami Madness,100,Sour - Fruited Kettle Sour,5.5%,4.39,"On tap at Lulu's in Allston, MA. Looks like a well-made NEIPA in the glass with a lovely stiff-peak eggwhite head that retains surprisingly well for the style. Aromas scream passion fruit, mango, and guava. Just a hint of pale malt character coming through. The passion fruit is strong in the flavors, too. Perhaps a hair on the tart side, had a bit of an apple cider vinegar character. Refreshing and quite drinkable. I definitely have my qualms with beers that are so heavily fruited they just take like unsweetened fruit spritzers, but I have to respect this one for how damn far they took it. This seems to be a slightly different recipe, the ABV is now 7%. 88/100"
4327,Fort Point Pale Ale,99,Pale Ale - American,6.6%,4.4,"Very balanced and drinkable. Not notable for a unique flavor, but a solid pale ale that I enjoy every time. Can't hold up to IPAs and DIPAs unless you're looking for something lighther."
4328,Atrial Rubicite,100,Wild Ale,5.8%,4.52,"Batch from June of 2017. Pours a dark rich red/purple with some carbonation. Smell is sweet pungent raspberry and earthy. Taste is tart, very refreshing, unabashedly raspberry. Dances the line between a fruity juice and a sour beer. Smooth and easy to drink. Really enjoyed it."
4329,Coconut B-Bomb,99,Strong Ale - American,13%,4.24,2017 Vintage
4330,Aaron,100,Barleywine - English,9%,4.58,"Batch 2 (2016). A: Pours a deep amber with some brown highlights. A ring of off white head dissipates quickly. No lacing.  S: Plum, cherry, and raisin in the forefront with light toffee, chocolate, and sherry. A whisp of oak and bourbon are fairly well integrated, and a bit of alcohol peaks through.  T: Follows the nose with fruit-forward flavor (plum, raisin, cherry), very light toffee and barrel presence (a little too light). A medium sweetness lingers on the finish, maybe a bit sweeter than ideal but not terribly out of place for the style.  M: Full bodied, thick, with medium-light carbonation. Very mild alcohol heat, it’s surprising how easy this drinks given the ABV. O: A delicious treat. The barrel and caramel flavors take a back seat to the fruit, which is fine but I wish they were a little more prominent."
4331,Pliny The Younger,100,IPA - Imperial,10.25%,4.79,"Def lived up to the Hype, exactly as I expected. Super smooth n drinkable. Lottsa flavor and extremely well balanced. Was worth the effort to get. I hope they bottle it every year."
4332,Black Tuesday - Reserve,100,Stout - American Imperial,20.5%,4.14,"05/2016 - The nose is super hot, with some dark chocolate, a crap ton of bourbon, and some vanilla; the palate is super boozy, with more bourbon, chocolate, and roast than the original; the finish is way too thin to make this super good. It's fun to try, but one and done for me."
4333,Haze,100,IPA - New England,8.2%,4.95,"For an IPA the smell and taste cannot get any better. A lot of Treehouse beers fade into memory as tasting a lot alike, great stuff but not individually memorable. However, Haze is such a unique standout. The ability to make hops taste both of peach and hops is amazing. By far my favorite Treehouse beer."
4334,Bourbon Paradise,100,Stout - American Imperial,13.7%,4.05,"Look: This pours black with almost no carbonation. A thin tan bit if head dissipates quickly. Smell: Smells boozy with some chocolate, no much else. Taste: I get the strong booze backing a bitter dark chocolate, followed by slight vanilla. Where's the coconut? Feel: Like a standard Prairie, good viscosity the coats the tongue. But the booze overpowering the adjuncts gives it a quick finish that doesn't linger.  Compared to most Prairie Dawgs, this one lands at about a 4 because of the imbalance of booze/adjuncts and the lacking sweetness. (I love 90% dark chocolate so have no problem with bitter). It just doesn't go well here."
4335,Hold On To Sunshine,99,Stout - Sweet / Milk,7.6%,4.2,"Decanted from a 16 oz (473 ml) can into a Tree House snifter glass; canned on 11/20/20, code I'M FEELING HOTS HOTS,HOTS."
4336,Genealogy Of Morals - Bourbon Barrel-Aged,99,Stout - American Imperial,10.7%,4.47,Had on site at HF 8/18/2017. Decadent and smooth with just a hint of barrel (wish there was a little more). Extremely rich mouthfeel. So glad I was finally able to try this one. Definitely worth seeking out.
4337,Flora,99,Farmhouse Ale - Saison,4.8%,4.78,Pours a light yellow with a one inch white almost champagne like head. Smells of lemon predominantly. Exquisitely light tart with lemon oakiness and light character from the wine barrel. Probably the best saison I have ever had.
4338,Wide Awake It's Morning,100,Porter - Imperial,10%,4.62,"Dark with a rich creamy tan head. Smells of coffee, smoke, maple and chocolate. Tastes follow the smell. Really sweet and a lot of coffee with the smokiness. Finishes with s char bitterness. Delicious beer."
4339,Vicinity,99,IPA - New England,8%,4.49,"Two day old growlette poured into a tulip glass.  L: Pours murky white golden with less than 1 finger of quickly dissipating white head that left minimal spotted lacing. S: Great nose, very tropical. Plenty of orange and mango, more subtle notes of passionfruit, pineapple and papaya.  T: Follows the nose to a large degree, but with more citrus prominence. Finishes with moderate bitterness and acidity, bitterness clears quickly while the acidity lingers. I liked that it wasn't crazy sweet juice. F: Medium bodied with medium-high carbonation, lively on the tongue with some burn from the carbonation and acidity, slick on the swallow.  O: Loved the nose and taste, didn't feel this hit the normal creamy mouthfeel of a Trillium NEIPA. Liked the bitterness element, and would gladly repeat if given the opportunity."
4340,Hypermash Hydra,100,Stout - American Imperial,13.54%,4.79,This was a complete shocker to me. It's been the first bottle logic beer I've traded back. The thickness is really a turning point I think BL will continue with. No other BL beers to this date have produced this. For the longest time in CA after trading for East Coast beers I wondered why west coast stouts were so much thinner and finally I found something that reminded me of The Answer's Cinammon Papa Boi but bourbon barrel aged. Beyond the thickness I'll admit I have 2 bottles and the first had more Cinammon than the second albeit not overwhelming. It being siagon and not straight cassia bark perhaps made it more exotic. The coffee profile was unreal. Just so decadent overall. A real shocker didnt know BL could do this.
4341,JJJuliusss!,100,IPA - New England,6.8%,4.75,"Pours a hazy bright orange color with a thick, soapy white head and sticky lacing. The smell explodes with orange from several feet away. There's also strong grapefruit, underripe mango, and a hint of pineapple. The taste is orange, orange zest, grapefruit, a hint of floral, and a strong bitterness on the finish. The mouthfeel is velvet smooth, medium/low carbonation, and medium/thick body. Overall, this is really enjoyable, very well done, and a really big beer."
4342,Black & Wild,99,Wild Ale,10%,4.31,"Pours a viscous motor oil with no lacing. Nose is cherry, chocolate, balsamic vinegar up front followed by warmth of vanilla from the bourbon. Taste follows the nose well blended of cherry, balsamic, followed by vanilla and chocolate and finishes with a nice acidity and barrel. Feel is viscous (milk) for a wild/sour with minimal carb to clean the pallet. Overall, this is a great beer for a dark sour and all the flavors blend well, the"
4343,Imperial Eclipse Stout - Elijah Craig (12 Year),99,Stout - American Imperial,11.9%,4.44,Pours a dark chocolate color. Aroma is mellow barrel with a touch of Carmel vanilla boozines. Flavor follows the nose. Nice chocolate with some char and a good Carmel vanilla bourbon flavor. A little thin but overall fantastic.
4344,Cutting Tiles - Mosaic,100,IPA - New England,8.5%,1.36,"It tastes like beer mixed with copious amounts of honey. A friend of mine drove all the way to Boston, snagged a bunch of Trillium beer, brought them back to CT, and a sampling we did do. I wish Cutting Tiles wasn't the first one I tried. It reminded me of drinking Dundee's Honey Brown Lager back in high school. I was tempted to ""accidentally"" spill my glass off his deck to avoid further punishment, but there were kids underneath playing laser tag, and I was afraid of spilling it on them. Imagine having to rescue them from a bee attack or a bear attack if they were laced in Cutting Tiles. I thoroughly enjoyed the other varieties, but the 4.5 point World Class reviews for this beer are completely misleading. I think the beer is just riding the coattails of Trillium's other quality recipes. I desperately want to blind taste test some users on this site. This beer is terrible. Save yourself the drive, buy a double Mosaic IPA that somehow tastes like a pilsner, and stir in about a half a cup of honey and there you go, Cutting Tiles. Also, if you like tea and honey, try tea and Cutting Tiles. Oh, and I heard they're partnering with General Mills to make Cutting Tiles Nut Cheerios. Honey Boo-Boo is changing her name to Cutting Tiles Boo-Boo."
4345,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,100,Stout - American Imperial,14%,4.65,"Great beer with a stellar coffee profile. Look and mouthfeel leave a bit to be desired, but the beer makes up for it with a coffee-forward nose and flavor that is superior to the majority of beers in this style. The barrel comes through as well."
4346,Emerald Grouper,99,IPA - Imperial,9.5%,4.05,eyes...
4347,BDCS,99,Stout - American Imperial,10.2%,3.83,"Received in a trade and shared with JLindros. 2018 vintage. A -Poured into a Kate the Great tulip a nice oily black hue with a thick mocha head that fades to leave a creamy blanket and light legs. S - Aromas of sweeter malts, super dark roast, nice fudgy chocolate but the barrel isn't super pretend. T - Taste is similar to the nose with rather sweeter malts. Roasted malts and charred oak, almost briney. The finish is super unpleasant, like campfire minus the smoke with a little soy sauce. M - Mouthfeel is lightly carbonated, alcohol hidden but the finish is rubbish. O - Overall this was a very underwhelming beer. It's decent enough but the finish is super unpleasant. Serving Type: can"
4348,Assassin,100,Stout - American Imperial,12%,4.48,"2020 vintage (green wax); consumed on 10/27/20 Pours an inky, jet-black body trailed in turn by a cascading, rocky, deep mocha foam; great head retention withers steadily to a foggy sliver of cap, a massive, creamy collar, and walls of lacing clinging briefly to the glass. Aroma begins with subtle dark fruits alongside a building barrel presence, invoking details of rich caramel, light oak, and a subtle vanilla; a depth surges in waves over the middle, bringing a healthy combo of fresh cacao nibs and milk chocolate alternating prominence; raisin, a minor (though brilliantly leveled) ethanol, brown sugar, and dark cherry esters accent the back end of the bouquet as chocolate pudding closes and lingers through the nose. Taste opens with splintery oak carrying the weight of dark malts, which calmly evolves to more toasted notes of caramel, brown sugar, lush bakers chocolate, and a fluffy, pipe tobacco-imbued roast; cherry 'pops' against decadent, oaky vanilla and a soft nuttiness over the mid-palate and forms a vanilla frosting character on back end, where dusty tones of hot chocolate leave the final impression. Mouthfeel offers a near-comprehensive full body, showing a chewy texture balanced against a low-moderate, pillowy carbonation; a slick, malty grit eases through the mid-palate with an evenly dispersed ethanol warmth lurking beneath and a splintery dryness prickle developing through an oily back end; an impactful rounding of robust, malt roast assures a totality to the finish/swallow. A graceful, classically-styled barrel-aged stout, layering waves of chocolate and an intrinsic whiskey undertone atop the ideal body, plush as it embraces the subtleties of a mild-moderate boozy heat. The barrel itself is sweet, but sees the malt profile flourish with near-perfect integration, coming to form one of the more exhaustively pleasing samples of an unadjuncted barrel-aged beer one is likely to come across."
4349,King Julius,100,IPA - New England,8.3%,4.37,Look - Just fantastic thick hazy slightly tannish orange with a creamy white head that last with great skimming and lacing
4350,V.S.O.J.,100,Barleywine - English,14%,4.78,"Tasted from can. Thick and chewy. Sticky goodness. Lots of bourbon, caramel and molasses on aroma and taste. Some dark fruits, raisins, dates, brown sugar and maple along with the caramel molasses on taste. Incredible English barleywine."
4351,Speedway Stout - Vietnamese Coffee - Bourbon-Barrel Aged,100,Stout - American Imperial,14%,4.66,"Another big thanks to rudzud, 2016 Again pours a giant frothy creamy thick heavy 3 finger dark colored heavy thick head, fades slowly, nice thick soapy dark lacing, pitch black beer and looooong legs, couldn't be better than this Nose loads of dark chocolate and coffee, earthy caramel like coffee, a bit sweet caramel toffee, with nice nougat chocolate fudge, nice mild earthy coffee and chocolate coffee notes, but loads of the base beer, dark chocolate, some roast, loads of vanilla and vanilla ice cream, baker's chocolate cocoa with a little generic back end fresh coffee, little caramel and vanilla toasted oak barrel, flashes of coconut barrel too, and a bit of sweet bourbon, great beer but coffee is lighter than it should be, probably age Taste is awesome, loads and loads of dark chocolate cocoa fudge, oreo cookie dough and lush cocoa, a touch of charred coffee and fresh coffee, mild earthy roasty coffee with a touch of nutty, cookie dough, wafer, loads of vanilla and barrel notes, a little barrel spice, some nice bourbon mixed with that smooth sweet bourbon, candy bourbon and caramel toffee candy like, juicy and delicious, just a hint of booze Mouth is fuller bod, fluffy creamy juicy lush with a nice carbonation, just a hint of alcohol Overall again awesome but missing a bit of the base Vietnamese coffee, great barrel, great base beer, great everything just missing some of the base coffee"
4352,Parabola,100,Stout - Russian Imperial,13%,4.91,"2020 Vintage, Drank 4/17/21 L - Motor oil, jet black S - Sweet, brown sugar, syrup, whiskey T - HUGE bourbon/char taste dominates, chocolate as well F - Somewhat thick, barely any carbonation  O - One of, if not the most bourbon forward BA stouts I’ve had. Not overly sweet, enjoying this around the campfire and I couldn’t think of a more perfect beer for the occasion. Easily a top 100 beer"
4353,Hypermash Hydra,100,Stout - American Imperial,13.54%,4.23,"Poured from fridge temp. Pours jet black with minimal head. Nose is bursting with notes. Cinnamon, coconut, very dark chocolate, bourbon, black licorice, burnt toffee, blackberries, and honey. I'm not getting much coffee on the nose. The nose, to me, is not overly complex. That said, I don't think it needs to be. The taste is really nice. Tons of cinnamon and coconut - probably the most dominant flavors. The bourbon is there, but not really dominant. The cinnamon is very strong. It tastes as described. The coffee is there, but I don't get a heavy hit of it. the mouthfeel is crazy - this, to me, is where this beer really stands out. Super thick and creamy. Almost pours as a syrup. Overall, this is a great beer, but definitely not something I would buy again for the price."
4354,Fort Point Pale Ale - Mosaic Dry Hopped,99,Pale Ale - American,6.6%,3.6,"Kids! Always bring back Trillium when you visit Boston! Like you didn’t know that. 16 oz. can dated 10/4/18. The pour is thick, phlegm-like yellow that smells like grapefruit perfume cut with pine. Not bad.  Mosaic Dry Hopped Fort Point leans hard enough into grapefruit it might fall out of the car. Grapefruit for kilometers, kiwi, spring florals, touch of mint, with a nice bitter finish. Dry. Easy enough to drink, which might be its calling card.  I can’t speak for the masses (but I will anyways), but this appears to be a classic case of “this is Trillllllium!”-itis. A good, solid beer, but nothing to rise above many others, especially with all the genuinely excellent beers in their portfolio."
4355,Matt,99,Strong Ale - American,11.5%,4.58,"Bottle, 2019 release:"
4356,Hunahpu's Imperial Stout,100,Stout - American Imperial,10.2%,4.18,"2019 version on draft at Cigar City. Poured a black body with minimal khaki head and this tiny khaki lace ring that stuck around. The aroma comes across as spicy, the cinnamon and chilies grabbing the nose, with minor chocolate sweetness underneath the spice. Smooth, silky, has some sticky sweetness despite how easy it is to drink. Chili and cinnamon balance with chocolate and vanilla, just enough booze for a complementary finish, and even mild notes of dark fruits like figs (not so much plum). Just a bit of everything in this beer and it is flavorful and so easy to drink."
4357,Consecration,100,Wild Ale,10%,4.45,"Mostly clear chestnut brown with dark tinting, no head save a thin off-white ring. Lovely and expressive red wine barrel with oak, brett, lacto, dried cherry, currant, and sour plum. Taste really does stand out, was skeptical given the hype and specifically the age of the hype, but the red wine makes this sour, playing with the oak, fruits including the addition of green apple and date, flowers, funk, brett, and lacto really well. Almost has a wine pouched cherry aftertaste with oak. Starts wet and vinous, but slowly and steadily makes its way to a drier and wood tannin laden finish, with green sour and funky textures in between, with all three phases melding into one another, best aspect of the beer. Stands the test of time, well done!"
4358,King Sue,100,IPA - New England,7.8%,4.44,"Well this was one expensive four-pack, six bucks higher than the pseudo-sue. I had no idea it would be one of the top IPAs, I just like the fossil Sue. So I spent money I didn't have, and here we are.  And I think... Well damn, it's pretty friggin' good. They weren't screwing around here. Oily, resinous hops abound. Thick and chewey, like a meal of hops. Lingering dry bitterness in the throat.  Kinda makes you feel like a giant, non-avian therapod with a hankering for lawyers."
4359,Dragonsaddle,99,IPA - New England,11.5%,4.41,"Poured into a snifter. Very hazy bright yellow color with a modest white head. Big tropical, grassy, and earthy aroma. Taste followed: pineapple, berries, mango, grass, and dank flavors. Smooth, full-bodied, and soft bitterness. One of my favorite TIPAs."
4360,Westly,100,Wild Ale,8.5%,4.75,"I had been wanting to try this one for a very long time and it didn't disappoint at all. So much apricot, but not too sweet and very drinkable. This one lived up to the hype."
4361,KBS - Maple Mackinac Fudge,99,Stout - American Imperial,11%,4.68,"Bottled On: October 26, 2020. Best before October 26, 2021 according to the Swedish importer.  Pitch black beer with a three finger high, mocca-colored head that leaves lacing on the glass.  Nose: Wow! Bourbon, vanilla, coffee, fudge, chocolate, maple syrup, a hint of cinnamon, grain, marshmallows and sugar. "
4362,Chemtrailmix,100,Stout - Russian Imperial,15%,4.75,"Multiple pours via tap DLD Pours pitch black with mocha colored head that dissipates quickly. Thick, sticky, stains the glass gold with a swirl. Nose is fantastic. Huge cinnamon (much bigger cinnamon presence than 2017), sweet brown sugar, spices, oak, vanilla, peppery notes. Taste is big cinnamon up front. Spiciness comes through, and sweetness on the back end. Chocolately. Feel is typical dark lord, viscous, thick, syrupy. Overall, incredible. Easily tops last year. Cinnamon toast with chocolate milk."
4363,Coffee Cinnamon B-Bomb,100,Strong Ale - American,13%,4.92,22 oz. Bomber
4364,Assassin,100,Stout - American Imperial,12%,4.88,"03/2015 - This is absolutely incredible - the nose is big bourbon, dark chocolate, roast, and some vanilla, too; the mouthfeel is velvety, luscious, and full on whiskey, yet there isn't any ethanol; the finish slightly sweet, yet the roast and barrel linger in a wonderful union that lasts and lasts."
4365,Barrel-Aged Sump Coffee Stout,100,Stout - American Imperial,10.5%,4.76,"2017 Vintage, poured into a tulip. Velvety coffee balanced well with chocolate notes and roasted malts. Super thick mouthfeel, which makes this one elite."
4366,Barrel-Aged Abraxas,100,Stout - American Imperial,11%,5.0,Excellent execution of the Mayan mocha style. The rye barrel spice marries wonderfully with the adjunct profile the abraxas provides. Absolutely unique and a legendary beer amongst the pastry scene. All hail the king.
4367,Juice Machine,100,IPA - New England,8.2%,4.85,"An outstanding beer among world class IPAs that TH is putting out. Full juice box smell and taste but I think some of their others have the mouthfeel that sets TH apart from just about every other brewery. That said, do not pass up the opportunity to sample this. Glad to see it warranted their full can label, similar to Julius, Green, etc... an indicator this will be in their regular rotation."
4368,Art,99,Farmhouse Ale - Saison,6.5%,4.67,"375ml bottle, Batch 5, dated March 18, 2015, poured into a Hill Farmstead oversized wine glass. The beer pours a bright golden color, hazy and cloudy with a finger of white, soapy head that has good retention and yields plenty of lacing. The aroma is excellent, great funk, nice and bright, soft oak, light vinous acidity, floral with a touch of sweet pale dough and some berry fruit. The flavors are excellent, beautifully balanced and layered, lovely funk, softly tart citrus, berry fruit, bright white wine grape, lightly acidic with an incredible floral bouquet, soft chewy oak plays with the pale doughy malt, a touch of spice and soft pitted stone fruits. The mouthfeel is excellent, coating and creamy, medium body that is so gentle and soft with the easiest of finishes that is lightly tart. Verdict: An incredible saison from Hill Farmstead, beautifully balanced, bright and delicate, just an exceptional beer. It’s soft and approachable and effortlessly complex."
4369,Black Gold,100,Stout - American Imperial,11%,4.37,2015 vintage
4370,Ephraim,100,IPA - New England,10%,4.71,"This was poured into a snifter. The appearance was a semi-hazy almost burnt orange color with a thin wisp of a white head that quickly dissipated. Light bubbles of broken head float around the top. Light wispy lacing. The smell takes in sweet danky onion sliding on into through resinous pine and then a light grapefruit underneath. The taste had a full bittersweet flavor revolving around the resinous piney part. Dry resinous aftertaste leads into a dry finish. On the palate, this one sat about a light to medium in body. ABV, whoah, where did that go? Its not really there, well hidden. Overall, wow, just wow, just an absolutely stellar job by HF. I’d love to have this again."
4371,Mexican Brunch,100,Porter - Imperial,9.2%,4.48,From Labor Day weekend notes:
4372,Citraquench'l,99,IPA - New England,7.1%,3.98,Canned fall 2016; drank 10/15/16 @ the Palace.  Opaque orange juice appearance.  HUGE white head; frothy lace.  Orange citrus & grapefruit notes in the nose.  Medium mouthfeel.  Fresh orange citrus flavor up front; mild grapefruit bite on the finish.  Very fruit forward; simple but effective.
4373,Permanent Funeral,100,IPA - Imperial,10.5%,4.06,"Canned 20 days ago. L — Bright golden orange body with quite a bit of noticeable hop particulate in suspension. Huge, 4-finger solid white head produced with moderate pour. Looks like this thing is carbonated up the wazoo, has that Alchemist look to it	"
4374,Omega Point,99,Barleywine - English,10%,3.9,Tan head. Caramel brown color. Lots of oak and wood. Brown sugar and toffee. Cherries and raisins. Some bourbon and vanilla. Has an odd strawberry flavor to it. Medium bodied. Very interesting bwine. Very unique.
